level,institution,count
amk,Diakonia-ammattikorkeakoulu,3
yamk,Diakonia-ammattikorkeakoulu,3
amk,Jyväskylän ammattikorkeakoulu,1
yamk,Kymenlaakson ammattikorkeakoulu,1
amk,Lahden ammattikorkeakoulu,2
yamk,Lapin ammattikorkeakoulu,1
amk,Laurea-ammattikorkeakoulu,2
yamk,Laurea-ammattikorkeakoulu,1
amk,Metropolia Ammattikorkeakoulu,1
yamk,Metropolia Ammattikorkeakoulu,1
amk,Tampereen ammattikorkeakoulu,1
amk,Turun ammattikorkeakoulu,2
yamk,Turun ammattikorkeakoulu,1
